Gemcodel,Gemcode,GemeentecodeGM,Provincienaam,Provinciecode,ProvinciecodePV,Y2011Q3,Y2012Q1,Y2012Q3,Y2013Q1,Y2013Q3,Y2014Q1,Y2016Q1,Y2016Q3,Y2017Q1,Y2018Q1,Y2018Q3,Y2019Q1,Y2019Q3,Y2020Q3,Y2021Q3,Y2022Q3
Dalfsen,148,GM0148,Overijssel,23,PV23,0,0,0,0,0,43,40,43,43,43,65,67,69,68,69,82
Dantumadiel,1891,GM1891,Friesland,21,PV21,0,0,0,0,0,0,52,74,74,74,74,74,69,74,73,92
Delft,503,GM0503,Zuid-Holland,28,PV28,10,12,12,12,12,12,2,3,3,3,4,6,6,7,8,77
Delfzijl,10,GM0010,Groningen,20,PV20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Deurne,762,GM0762,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,0,1,2,1,1,38,68,96
Deventer,150,GM0150,Overijssel,23,PV23,88,89,90,91,91,92,96,89,89,90,91,93,95,94,95,96
Diemen,384,GM0384,Noord-Holland,27,PV27,11,10,10,11,11,13,0,2,4,4,10,16,26,62,76,83
Dinkelland,1774,GM1774,Overijssel,23,PV23,1,27,40,39,55,61,74,87,86,89,91,92,92,92,92,96
Dirksland,504,GM0504,,,,0,0,0,0,0,,,,,,,,,,,
Doesburg,221,GM0221,Gelderland,25,PV25,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,51
Doetinchem,222,GM0222,Gelderland,25,PV25,0,0,0,0,18,40,93,90,90,90,91,93,94,97,98,99
Dongen,766,GM0766,Noord-Brabant,30,PV30,0,2,2,2,2,3,6,2,3,5,7,11,18,19,23,89
Dongeradeel,58,GM0058,Friesland,21,PV21,1,1,1,2,1,1,38,57,58,58,58,,,,,
Dordrecht,505,GM0505,Zuid-Holland,28,PV28,69,78,93,98,98,98,99,92,91,91,91,93,93,94,94,95
Drechterland,498,GM0498,Noord-Holland,27,PV27,0,0,0,0,0,0,0,1,1,1,3,3,3,8,9,18
Drimmelen,1719,GM1719,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,62
Dronten,303,GM0303,Flevoland,24,PV24,92,90,92,91,91,92,94,88,87,87,88,90,90,93,95,99
Druten,225,GM0225,Gelderland,25,PV25,0,0,0,0,3,7,0,6,6,8,7,7,8,8,10,99
Duiven,226,GM0226,Gelderland,25,PV25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
Echt-Susteren,1711,GM1711,Limburg,31,PV31,0,0,0,0,43,84,66,76,76,77,77,79,79,78,79,86
Edam-Volendam,385,GM0385,Noord-Holland,27,PV27,0,1,1,2,4,4,0,3,4,5,5,7,9,20,21,23
Ede,228,GM0228,Gelderland,25,PV25,0,0,1,1,1,15,27,20,22,23,29,31,33,34,35,62
Eemnes,317,GM0317,Utrecht,26,PV26,0,0,0,0,0,0,0,1,3,4,6,7,7,8,11,11
Eemsmond,1651,GM1651,Groningen,20,PV20,0,0,0,0,0,0,0,0,0,0,0,,,,,
Eersel,770,GM0770,Noord-Brabant,30,PV30,0,0,0,0,0,0,94,87,87,93,93,96,96,96,96,99
Eijsden-Margraten,1903,GM1903,Limburg,31,PV31,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Eindhoven,772,GM0772,Noord-Brabant,30,PV30,28,27,26,29,35,42,64,73,73,73,76,75,75,75,85,94
Elburg,230,GM0230,Gelderland,25,PV25,58,58,58,62,92,93,80,83,83,84,84,87,97,96,97,98
Emmen,114,GM0114,Drenthe,22,PV22,0,0,28,38,38,38,55,49,49,54,54,55,55,74,88,90
Enkhuizen,388,GM0388,Noord-Holland,27,PV27,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2
Enschede,153,GM0153,Overijssel,23,PV23,93,82,91,92,92,92,94,88,90,90,92,93,93,93,94,95
Epe,232,GM0232,Gelderland,25,PV25,,0,0,1,55,82,72,74,74,75,75,76,76,90,88,97
Ermelo,233,GM0233,Gelderland,25,PV25,,0,22,81,85,85,59,81,81,73,73,74,74,79,80,81
Etten-Leur,777,GM0777,Noord-Brabant,30,PV30,0,4,7,7,7,7,8,7,8,9,9,10,10,10,11,56
Ferwerderadiel,1722,GM1722,Friesland,21,PV21,0,0,0,0,0,0,0,0,0,0,0,,,,,
Franekeradeel,70,GM0070,Friesland,21,PV21,0,0,0,0,0,0,0,0,0,,,,,,,
Gaasterlân-Sleat,653,GM0653,,,,0,0,0,0,0,0,,,,,,,,,,
Geertruidenberg,779,GM0779,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,7
Geldermalsen,236,GM0236,Gelderland,25,PV25,0,0,0,10,80,84,83,76,75,75,76,,,,,
Geldrop-Mierlo,1771,GM1771,Noord-Brabant,30,PV30,100,100,100,100,100,100,98,96,96,99,99,99,99,100,99,99
Gemert-Bakel,1652,GM1652,Noord-Brabant,30,PV30,0,88,88,88,88,88,72,79,79,79,79,82,90,91,93,99
Gennep,907,GM0907,Limburg,31,PV31,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,60
Giessenlanden,689,GM0689,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,0,40,98,98,,,,,
Gilze en Rijen,784,GM0784,Noord-Brabant,30,PV30,0,0,0,0,0,0,80,84,85,89,90,96,97,98,97,98
Goedereede,511,GM0511,,,,0,0,0,0,0,,,,,,,,,,,
Goes,664,GM0664,Zeeland,29,PV29,0,0,0,0,0,0,0,1,1,1,1,3,3,6,7,86
Goirle,785,GM0785,Noord-Brabant,30,PV30,0,0,0,0,0,0,32,15,15,16,18,16,17,17,18,20
Gorinchem,512,GM0512,Zuid-Holland,28,PV28,0,0,0,0,0,0,0,2,3,5,7,6,6,6,9,11
Gouda,513,GM0513,Zuid-Holland,28,PV28,0,,0,0,0,0,21,22,22,44,44,26,27,60,81,99
Graafstroom,693,GM0693,,,,0,0,0,0,0,,,,,,,,,,,
Graft-De Rijp,365,GM0365,,,,0,0,0,0,0,0,,,,,,,,,,
Grave,786,GM0786,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
's-Gravenhage,518,GM0518,Zuid-Holland,28,PV28,3,3,3,4,4,5,8,9,9,9,10,11,12,26,36,60
Groesbeek,241,GM0241,,,,0,0,3,40,96,97,,,,,,,,,,
Groningen,14,GM0014,Groningen,20,PV20,1,1,2,2,2,1,1,3,4,6,6,5,6,7,9,39
Grootegast,15,GM0015,Groningen,20,PV20,0,0,0,0,0,0,0,0,0,0,0,,,,,
Gulpen-Wittem,1729,GM1729,Limburg,31,PV31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haaksbergen,158,GM0158,Overijssel,23,PV23,90,91,91,91,91,92,83,84,84,85,92,94,98,97,97,99
Haaren,788,GM0788,Noord-Brabant,30,PV30,0,0,0,0,0,0,0,0,1,9,14,41,44,46,,
Haarlem,392,GM0392,Noord-Holland,27,PV27,1,1,1,1,1,1,0,7,7,8,9,9,9,9,11,55
Haarlemmerliede en Spaarnwoude,393,GM0393,Noord-Holland,27,PV27,0,0,3,4,4,4,51,45,46,46,50,,,,,
Haarlemmermeer,394,GM0394,Noord-Holland,27,PV27,35,48,51,54,54,54,71,74,73,73,74,76,76,76,77,80
Halderberge,1655,GM1655,Noord-Brabant,30,PV30,0,45,44,45,45,45,40,39,39,40,40,42,42,63,63,99
Hardenberg,160,GM0160,Overijssel,23,PV23,0,0,8,37,56,56,46,54,54,58,76,77,77,77,77,84
Harderwijk,243,GM0243,Gelderland,25,PV25,0,0,9,42,95,100,95,97,95,95,95,96,97,96,99,96
